SIDER_CID,SIDER_DrugName
CID100000085,carnitine
CID100000119,gamma-aminobutyric
CID100000143,leucovorin
CID100000146,5-methyltetrahydrofolate
CID100000158,PGE2
CID100000159,prostacyclin
CID100000160,prostaglandin
CID100000191,adenosine
CID100000206,glucose
CID100000214,PGE1
CID100000222,ammonia
CID100000232,arginine
CID100000297,graphene
CID100000298,chloramphenicol
CID100000303,bile
CID100000311,citric
CID100000338,salicylate
CID100000401,D-cycloserine
CID100000450,estradiol
CID100000453,mannitol
CID100000564,EACA
CID100000581,N-acetylcysteine
CID100000596,cytarabine
CID100000598,mesna
CID100000612,lactate
CID100000698,estrone
CID100000699,Oestrogen
CID100000700,monoethanolamine
CID100000727,lindane
CID100000738,glutamine
CID100000750,glycine
CID100000767,bicarbonate
CID100000772,LMWH
CID100000785,quinol
CID100000815,kanamycin
CID100000838,epinephrine
CID100000853,thyroxine
CID100000861,triiodothyronine
CID100000937,niacin
CID100000942,nicotine
CID100000951,norepinephrine
CID100000961,hydroxyl
CID100001003,phosphate
CID100001054,pyridoxine
CID100001065,quinidine
CID100001071,retinol
CID100001084,thiosulfate
CID100001125,tetrahydrobiopterin
CID100001134,thymidine
CID100001206,methamphetamine
CID100001301,naproxen
CID100001546,cladribine
CID100001690,doxorubicin
CID100001798,methazolamide
CID100001805,5-azacytidine
CID100001875,methylprednisolone
CID100001971,abacavir
CID100001972,amphotericin
CID100001990,acetohydroxamic
CID100002019,actinomycin
CID100002021,spectinomycin
CID100002022,acyclovir
CID100002085,Almeta
CID100002094,allopurinol
CID100002133,amcinonide
CID100002142,amikacin
CID100002153,theophylline
CID100002156,amiodarone
CID100002161,amlexanox
CID100002163,amobarbital
CID100002168,amorolfine
CID100002171,amoxicillin
CID100002173,ampicillin
CID100002177,amprenavir
CID100002182,anagrelide
CID100002215,apomorphine
CID100002232,argatroban
CID100002249,atenolol
CID100002250,atorvastatin
CID100002269,azithromycin
CID100002274,aztreonam
CID100002284,baclofen
CID100002307,beclomethasone
CID100002308,beclomethasone
CID100002311,benazepril
CID100002341,benzphetamine
CID100002344,benztropine
CID100002345,benzyl
CID100002349,penicillin
CID100002350,bepotastine
CID100002367,dexamethasone
CID100002375,bicalutamide
CID100002442,bromhexine
CID100002443,bromocriptine
CID100002462,budesonide
CID100002476,buprenorphine
CID100002484,butenafine
CID100002487,butorphanol
CID100002512,cabergoline
CID100002520,verapamil
CID100002522,calcipotriol
CID100002524,"1,25(OH)2D3"
CID100002547,capreomycin
CID100002548,capsaicin
CID100002550,captopril
CID100002559,carbenicillin
CID100002563,carbidopa
CID100002609,cefaclor
CID100002610,cefadroxil
CID100002617,cefazolin
CID100002622,cefepime
CID100002631,cefotaxime
CID100002637,cefoxitin
CID100002646,cefprozil
CID100002650,ceftazidime
CID100002654,cephem
CID100002655,ceftizoxime
CID100002656,ceftriaxone
CID100002658,cefuroxime
CID100002666,cephalexin
CID100002675,cefixime
CID100002676,cerivastatin
CID100002684,cevimeline
CID100002713,chlorhexidine
CID100002732,chlorthalidone
CID100002751,cilazapril
CID100002767,cisplatin
CID100002781,clemastine
CID100002786,clindamycin
CID100002791,clobetasol
CID100002792,clobetasone
CID100002800,clomiphene
CID100002806,clopidogrel
CID100002818,clozapine
CID100002826,cocaine
CID100002828,codeine
CID100002833,colchicine
CID100002881,sodium
CID100002883,crotamiton
CID100002891,cyanocobalamin
CID100002909,v
CID100002914,cyproterone
CID100002949,danazol
CID100002951,dantrolene
CID100002958,anthracycline
CID100002973,deferoxamine
CID100002978,delta
CID100003000,desoximetasone
CID100003003,dexamethasone
CID100003008,dextromethorphan
CID100003015,cyproterone
CID100003032,diclofenac
CID100003040,dicloxacillin
CID100003043,didanosine
CID100003053,diethylenetriaminepentaacetic
CID100003056,diflorasone
CID100003060,epitopic
CID100003062,digoxin
CID100003063,dihydrocodeine
CID100003066,dihydroergotamine
CID100003075,diltiazem
CID100003100,diphenhydramine
CID100003121,valproate
CID100003125,alpha-methyl-p-tyrosine
CID100003143,docetaxel
CID100003148,dolasetron
CID100003151,domperidone
CID100003152,donepezil
CID100003154,dorzolamide
CID100003155,dothiepin
CID100003158,doxepin
CID100003171,L-threo-DOPS
CID100003198,econazole
CID100003199,trabectedin
CID100003203,efavirenz
CID100003209,eicosapentaenoic
CID100003222,CAS
CID100003249,vitamin
CID100003250,ergonovine
CID100003251,ergotamine
CID100003255,erythromycin
CID100003256,monomycin
CID100003263,estradiol
CID100003267,estradiol
CID100003268,estramustine
CID100003269,estriol
CID100003279,ethambutol
CID100003308,etodolac
CID100003310,etoposide
CID100003324,famciclovir
CID100003325,famotidine
CID100003340,fenoldopam
CID100003350,finasteride
CID100003355,flecainide
CID100003363,FdUrd
CID100003364,flucloxacillin
CID100003367,fludarabine
CID100003368,FAMP
CID100003370,fludrocortisone
CID100003375,flumethasone
CID100003379,flunisolide
CID100003381,fluocinolone
CID100003382,fluocinonide
CID100003384,fluorometholone
CID100003386,fluoxetine
CID100003387,fluoxymesterone
CID100003388,fluphenazine
CID100003392,flurandrenolone
CID100003394,flurbiprofen
CID100003399,fluticasone
CID100003403,fluvastatin
CID100003404,fluvoxamine
CID100003405,folate
CID100003410,formoterol
CID100003414,foscarnet
CID100003417,fosfomycin
CID100003419,fosinopril
CID100003425,Romidepsin
CID100003443,fusidic
CID100003449,galantamine
CID100003454,ganciclovir
CID100003461,gemcitabine
CID100003462,gemeprost
CID100003510,granisetron
CID100003512,griseofulvin
CID100003516,guaifenesin
CID100003517,icodextrin
CID100003553,halcinonide
CID100003598,hexachlorophene
CID100003623,homatropine
CID100003636,Buscopan
CID100003640,cortisol
CID100003642,hydrocortisone
CID100003648,hydromorphone
CID100003661,atropine
CID100003672,ibuprofen
CID100003685,idarubicin
CID100003687,IdUrd
CID100003702,indapamide
CID100003706,indinavir
CID100003734,iopamidol
CID100003738,iotrolan
CID100003739,iodipamide
CID100003742,ioxaglate
CID100003746,ipratropium
CID100003750,irinotecan
CID100003777,isopropyl
CID100003780,isosorbide
CID100003783,isoxsuprine
CID100003793,itraconazole
CID100003821,ketamine
CID100003823,ketoconazole
CID100003825,ketoprofen
CID100003830,cytokinin
CID100003848,phenyllactate
CID100003872,lactulose
CID100003877,lamivudine
CID100003883,lansoprazole
CID100003890,latanoprost
CID100003911,Leuprorelin
CID100003914,levobunolol
CID100003915,levocabastine
CID100003916,levomepromazine
CID100003918,dextrorphan
CID100003928,lincomycin
CID100003929,linezolid
CID100003937,Lisinopril
CID100003938,lisuride
CID100003939,LiOH
CID100003954,loperamide
CID100003962,lovastatin
CID100003998,mafenide
CID100004030,mebendazole
CID100004032,mecamylamine
CID100004036,meclofenamate
CID100004042,medroxyprogesterone
CID100004043,medrysone
CID100004046,mefloquine
CID100004048,megestrol
CID100004051,meloxicam
CID100004053,melphalan
CID100004095,methadone
CID100004112,methotrexate
CID100004120,N-methylscopolamine
CID100004138,methyldopa
CID100004139,methylene
CID100004140,methylergometrine
CID100004158,methylphenidate
CID100004159,methylprednisolone
CID100004160,methyltestosterone
CID100004163,methysergide
CID100004178,mexiletine
CID100004196,mifepristone
CID100004205,mirtazapine
CID100004236,modafinil
CID100004240,mometasone
CID100004248,montelukast
CID100004253,morphine
CID100004259,moxifloxacin
CID100004264,mupirocin
CID100004271,mycophenolate
CID100004272,mycophenolic
CID100004274,tetrofosmin
CID100004411,nadolol
CID100004419,nalbuphine
CID100004422,nalmefene
CID100004425,naloxone
CID100004428,naltrexone
CID100004432,nandrolone
CID100004443,nateglinide
CID100004450,nefopam
CID100004451,nelfinavir
CID100004454,neomycin
CID100004473,nicardipine
CID100004509,nitrofurantoin
CID100004536,norethisterone
CID100004542,levonorgestrel
CID100004547,repaglinide
CID100004568,nystatin
CID100004583,ofloxacin
CID100004585,olanzapine
CID100004594,omeprazole
CID100004599,orlistat
CID100004603,oseltamivir
CID100004607,oxacillin
CID100004609,oxaliplatin
CID100004623,oxiconazole
CID100004635,oxycodone
CID100004638,oxymetholone
CID100004639,oxymorphone
CID100004666,paclitaxel
CID100004673,pamidronate
CID100004675,pancuronium
CID100004678,dexpanthenol
CID100004689,paromomycin
CID100004691,paroxetine
CID100004695,isosulfan
CID100004724,penbutolol
CID100004725,penciclovir
CID100004727,D-penicillamine
CID100004730,penicillin
CID100004736,pentazocine
CID100004739,pentostatin
CID100004745,pergolide
CID100004782,phenylephrine
CID100004786,phenylpropanolamine
CID100004811,physostigmine
CID100004812,vitamin
CID100004819,pilocarpine
CID100004834,piperacillin
CID100004865,podophyllotoxin
CID100004868,polymyxin
CID100004870,polythiazide
CID100004885,pramipexole
CID100004889,pravastatin
